"","Date","Region","Speed","Height"
"1",2004-01-01,1,2.38456438565062,NA
"2",2004-01-01,2,3.02708332488934,NA
"3",2004-01-02,1,2.85729167337219,NA
"4",2004-01-02,2,2.90000000596046,NA
"5",2004-01-03,1,2.52800244377816,NA
"6",2004-01-03,2,2.14374999701977,NA
"7",2004-01-04,1,3.53194442782034,NA
"8",2004-01-04,2,3.11041666644936,NA
"9",2004-01-05,1,4.5562500278155,NA
"10",2004-01-05,2,2.59583333383004,NA
"11",2004-01-06,1,4.83982214171376,NA
"12",2004-01-06,2,2.10000000956158,NA
"13",2004-01-07,1,5.80729168653488,NA
"14",2004-01-07,2,7.84047620069413,NA
"15",2004-01-08,1,3.45133928919122,NA
"16",2004-01-08,2,5.46956522050111,NA
"17",2004-01-09,1,3.33886219109767,NA
"18",2004-01-09,2,3.45833333286767,NA
"19",2004-01-10,1,4.86259470293016,NA
"20",2004-01-10,2,7.6632246458768,NA
"21",2004-01-11,1,3.67549894982818,NA
"22",2004-01-11,2,7.19791666666667,NA
"23",2004-01-12,1,2.51770832513769,NA
"24",2004-01-12,2,5.25833332041899,NA
"25",2004-01-13,1,2.25937499882032,NA
"26",2004-01-13,2,4.36250000198682,NA
"27",2004-01-14,1,2.77812498708566,NA
"28",2004-01-14,2,3.60760869366535,NA
"29",2004-01-15,1,3.84851189755968,NA
"30",2004-01-15,2,2.02708333389213,NA
"31",2004-01-16,1,3.13645835096637,NA
"32",2004-01-16,2,2.58958333109816,NA
"33",2004-01-17,1,3.97708334041138,NA
"34",2004-01-17,2,4.75371376910935,NA
"35",2004-01-18,1,5.05160982613311,NA
"36",2004-01-18,2,6.3187500188748,NA
"37",2004-01-19,1,4.27396753783187,NA
"38",2004-01-19,2,2.78958334773779,NA
"39",2004-01-20,1,3.5876811745698,NA
"40",2004-01-20,2,7.01250000794729,NA
"41",2004-01-21,1,2.50138889584276,NA
"42",2004-01-21,2,4.41060607039341,NA
"43",2004-01-22,1,3.25363248366162,NA
"44",2004-01-22,2,5.35208332538605,NA
"45",2004-01-23,1,4.23020833681027,NA
"46",2004-01-23,2,5.74157608894334,NA
"47",2004-01-24,1,3.18835784301308,NA
"48",2004-01-24,2,3.21874998882413,NA
"49",2004-01-25,1,4.4251335514789,NA
"50",2004-01-25,2,3.99791667237878,NA
"51",2004-01-26,1,5.91875001788139,NA
"52",2004-01-26,2,5.77083332339923,NA
"53",2004-01-27,1,4.95228509755366,NA
"54",2004-01-27,2,5.92916668454806,NA
"55",2004-01-28,1,5.02061511041248,NA
"56",2004-01-28,2,8.45833333333333,NA
"57",2004-01-29,1,2.59134614788569,NA
"58",2004-01-29,2,5.5,NA
"59",2004-01-30,1,2.09166666430732,NA
"60",2004-01-30,2,4.83333333333333,NA
"61",2004-01-31,1,4.06423611582981,NA
"62",2004-01-31,2,5.41666666666667,NA
"63",2004-02-01,1,7.26426632173251,NA
"64",2004-02-01,2,4.83333333333333,NA
"65",2004-02-02,1,4.85468001076075,NA
"66",2004-02-02,2,2.70833333333333,NA
"67",2004-02-03,1,1.94687500223517,NA
"68",2004-02-03,2,3.79166666666667,NA
"69",2004-02-04,1,3.32525252802956,NA
"70",2004-02-04,2,4.29166666666667,NA
"71",2004-02-05,1,5.7623106150013,NA
"72",2004-02-05,2,4.70833333333333,NA
"73",2004-02-06,1,5.88778222603111,NA
"74",2004-02-06,2,4.38888888888889,NA
"75",2004-02-07,1,6.53727354973123,NA
"76",2004-02-07,2,7.33333333333333,NA
"77",2004-02-08,1,5.66639493697363,NA
"78",2004-02-08,2,8.65217391304348,NA
"79",2004-02-09,1,4.00624998658895,NA
"80",2004-02-09,2,5.625,NA
"81",2004-02-10,1,2.93854166197901,NA
"82",2004-02-10,2,3.08333333333333,NA
"83",2004-02-11,1,4.0788377148279,NA
"84",2004-02-11,2,3,NA
"85",2004-02-12,1,4.61501226632618,NA
"86",2004-02-12,2,2.20833333333333,NA
"87",2004-02-13,1,4.70312501396984,NA
"88",2004-02-13,2,2.17391304347826,NA
"89",2004-02-14,1,4.70965908196839,NA
"90",2004-02-14,2,4.95833333333333,NA
"91",2004-02-15,1,6.16994897218479,NA
"92",2004-02-15,2,6.04166666666667,NA
"93",2004-02-16,1,3.31212120504316,NA
"94",2004-02-16,2,6.79166666666667,NA
"95",2004-02-17,1,3.41926327275769,NA
"96",2004-02-17,2,6.625,NA
"97",2004-02-18,1,4.21961050352109,NA
"98",2004-02-18,2,8.95833333333333,NA
"99",2004-02-19,1,3.06922906083088,NA
"100",2004-02-19,2,5.08333333333333,NA
"101",2004-02-20,1,3.70104164605339,NA
"102",2004-02-20,2,3.125,NA
"103",2004-02-21,1,4.66266057973087,NA
"104",2004-02-21,2,2.45833333333333,NA
"105",2004-02-22,1,3.14270832538605,NA
"106",2004-02-22,2,2.04166666666667,NA
"107",2004-02-23,1,2.98302974784962,NA
"108",2004-02-23,2,2.78260869565217,NA
"109",2004-02-24,1,4.60202207558734,NA
"110",2004-02-24,2,5.04347826086957,NA
"111",2004-02-25,1,5.74735810172155,NA
"112",2004-02-25,2,7.83333333333333,NA
"113",2004-02-26,1,5.379166683803,NA
"114",2004-02-26,2,3.66666666666667,NA
"115",2004-02-27,1,3.92708332166076,NA
"116",2004-02-27,2,7.75,NA
"117",2004-02-28,1,4.50218899476067,NA
"118",2004-02-28,2,7.41666666666667,NA
"119",2004-02-29,1,4.90570177052889,NA
"120",2004-02-29,2,7.04347826086957,NA
"121",2004-03-01,1,4.4025767830707,NA
"122",2004-03-01,2,4.95833333333333,NA
"123",2004-03-02,1,4.13213142962792,NA
"124",2004-03-02,2,3.41666666666667,NA
"125",2004-03-03,1,3.11071427435215,NA
"126",2004-03-03,2,3.30434782608696,NA
"127",2004-03-04,1,3.79356868590471,NA
"128",2004-03-04,2,4.125,NA
"129",2004-03-05,1,4.38750001167258,NA
"130",2004-03-05,2,4.16666666666667,NA
"131",2004-03-06,1,5.08607953651385,NA
"132",2004-03-06,2,3.83333333333333,NA
"133",2004-03-07,1,3.46364089089727,NA
"134",2004-03-07,2,3.29166666666667,NA
"135",2004-03-08,1,5.94067027619568,NA
"136",2004-03-08,2,7.16666666666667,NA
"137",2004-03-09,1,4.46385222926859,NA
"138",2004-03-09,2,5.26086956521739,NA
"139",2004-03-10,1,4.98541668367883,NA
